TransactionID,ato_risk_score,recommended_action
3309474,0.55,allow
3311996,0.55,allow
3312452,0.56,allow
3313952,0.67,allow
3316186,0.62,allow
3317236,0.62,allow
3321788,0.65,allow
3322422,0.6,allow
3323648,0.6,allow
3323794,0.63,allow
3323810,0.64,allow
3323863,0.63,allow
3324403,0.63,allow
3325008,0.53,allow
3325449,0.48,allow
3326030,0.46,allow
3326273,0.46,allow
3329604,0.49,allow
3331158,0.51,allow
3333280,0.5,allow
3334316,0.55,allow
3339972,0.6,allow
3340666,0.64,allow
3342340,0.84,allow
3342358,0.88,allow
3344208,0.84,allow
3344790,0.73,allow
3345032,0.67,allow
3347903,0.72,allow
3349087,0.69,allow
3353627,1.09,allow
3356996,2.11,allow
3358487,2.69,allow
3358788,2.28,allow
3361234,1.93,allow
3361528,17.22,allow
3365413,7.78,allow
3366704,3.67,allow
3367247,2.25,allow
3367306,1.19,allow
3367659,0.69,allow
3370284,0.46,allow
3371307,0.37,allow
3371531,0.35,allow
3373671,0.36,allow
3374243,0.38,allow
3374252,0.39,allow
3374263,0.4,allow
3376341,0.41,allow
3377558,0.46,allow
3377912,0.51,allow
3382096,0.6,allow
3386160,0.67,allow
3388201,0.67,allow
3388495,4.91,allow
3398064,1.67,allow
3398068,0.73,allow
3403738,0.41,allow
3405570,0.33,allow
3411640,0.3,allow
3413394,0.28,allow
3414546,0.31,allow
3415887,0.36,allow
3416632,0.42,allow
3417370,0.58,allow
3417607,0.62,allow
3418573,0.65,allow
3418785,0.54,allow
3424281,0.47,allow
3424887,0.52,allow
3427947,0.47,allow
3429304,0.49,allow
3429379,0.54,allow
3429461,0.47,allow
3431997,0.42,allow
3432538,0.46,allow
3432539,0.42,allow
3436728,0.41,allow
3441660,1.76,allow
3443367,3.65,allow
3443375,2.36,allow
3444024,2.27,allow
3445629,28.13,allow
3445934,9.51,allow
3448730,4.27,allow
3449372,2.03,allow
3450443,3.96,allow
3453108,2.04,allow
3453923,1.48,allow
3455861,0.96,allow
3456644,0.75,allow
3458447,0.56,allow
3459176,0.54,allow
3460461,0.49,allow
3461723,0.52,allow
3470935,0.62,allow
3476526,0.67,allow
3481198,0.68,allow
3485473,0.61,allow
3489233,0.53,allow
3491215,0.53,allow
3491552,0.56,allow
3493766,0.6,allow
3498417,0.65,allow
3504244,0.88,allow
3507573,1.0,allow
3508620,0.8,allow
3509052,0.73,allow
3515730,0.7,allow
3516614,0.71,allow
3519887,0.62,allow
3521354,0.63,allow
3521915,0.7,allow
3528912,6.43,allow
3529873,3.26,allow
3530604,1.91,allow
3530612,1.38,allow
3534533,1.12,allow
3537570,0.8,allow
3538194,0.64,allow
3543983,0.62,allow
3544495,0.64,allow
3549811,0.67,allow
3551776,0.64,allow
3552141,0.54,allow
3552173,0.49,allow
3552536,0.48,allow
3554535,0.5,allow
3556630,0.46,allow
3556860,0.52,allow
3556963,0.61,allow
3556984,0.7,allow
3557004,0.79,allow
3558444,0.86,allow
3559798,1.45,allow
3560939,2.27,allow
3567648,3.72,allow
3567653,5.02,allow
3569816,3.53,allow
3570383,2.25,allow
3572568,1.77,allow
3572570,21.73,allow
3572585,43.29,allow
3572620,60.71,step_up_auth
3572624,44.01,allow
3572653,24.81,allow
3572654,14.2,allow
3572655,7.42,allow
3572658,4.13,allow
3572659,2.49,allow
3575873,1.62,allow
2987251,19.15,allow
2989475,5.39,allow
2989822,1.57,allow
2990637,0.7,allow
2993599,0.48,allow
2995642,0.41,allow
2996002,0.43,allow
2996793,0.42,allow
2996824,10.8,allow
2997574,3.57,allow
3000583,1.68,allow
3001210,1.07,allow
3001211,0.86,allow
3001515,0.77,allow
3001523,0.74,allow
3002441,0.74,allow
3002493,0.72,allow
3003499,0.73,allow
3003627,0.53,allow
3004114,0.49,allow
3005739,0.46,allow
3007772,0.46,allow
3007786,0.43,allow
3008977,0.41,allow
3009373,0.41,allow
3010586,2.25,allow
3011915,1.11,allow
3014293,0.72,allow
3015379,0.56,allow
3015677,0.45,allow
3016508,0.41,allow
3017075,0.41,allow
3017139,0.43,allow
3017502,0.46,allow
3020660,32.12,allow
3022281,11.32,allow
3022694,4.34,allow
3025570,2.23,allow
3026784,1.43,allow
3027327,0.99,allow
3034483,0.78,allow
3034507,0.65,allow
3035380,0.55,allow
3035504,0.48,allow
3039636,0.4,allow
3041117,0.38,allow
3041442,2.12,allow
3043580,0.85,allow
3045901,0.45,allow
3049010,0.33,allow
3049552,0.27,allow
3051524,0.25,allow
3051620,0.31,allow
3051652,0.42,allow
3052647,0.59,allow
3052668,0.63,allow
3055481,0.69,allow
3055737,0.72,allow
3056045,0.72,allow
3056460,0.71,allow
3056644,0.61,allow
3057055,0.55,allow
3060299,6.6,allow
3060317,2.48,allow
3060393,1.38,allow
3061709,1.02,allow
3062476,0.88,allow
3062494,0.74,allow
3063480,0.65,allow
3065233,38.3,allow
3067782,12.79,allow
3068382,4.72,allow
3069548,1.63,allow
3070094,5.87,allow
3073223,2.33,allow
3074761,1.17,allow
3077796,12.51,allow
3080293,19.45,allow
3081613,13.77,allow
3081760,5.99,allow
3082020,3.08,allow
3083979,1.93,allow
3086740,1.38,allow
3086794,0.92,allow
3090769,0.69,allow
3090888,0.59,allow
3092465,0.48,allow
3096327,0.42,allow
3097970,0.5,allow
3099150,0.47,allow
3101066,0.49,allow
3101226,19.76,allow
3102876,6.97,allow
3103673,3.03,allow
3105069,1.58,allow
3106813,1.17,allow
3108362,0.87,allow
3109741,11.25,allow
3111670,3.25,allow
3116120,1.38,allow
3116174,0.82,allow
3119406,0.49,allow
3119428,0.42,allow
3120005,0.42,allow
3120054,0.44,allow
3120385,0.49,allow
3120746,0.57,allow
3121297,0.64,allow
3121515,0.66,allow
3122088,0.6,allow
3122945,0.55,allow
3124418,0.6,allow
3124802,0.55,allow
3125941,1.39,allow
3126023,1.8,allow
3126327,1.43,allow
3126591,1.18,allow
3126916,1.05,allow
3128180,0.87,allow
3131549,0.83,allow
3133568,0.88,allow
3135368,0.93,allow
3138225,0.81,allow
3141303,15.57,allow
3141793,7.14,allow
3141913,2.87,allow
3142440,1.3,allow
3143059,0.78,allow
3144079,0.59,allow
3146546,0.66,allow
3150025,0.65,allow
3150973,0.64,allow
3150976,0.58,allow
3150989,0.6,allow
3151323,0.57,allow
3151615,0.64,allow
3152041,0.64,allow
3153562,0.61,allow
3156575,0.55,allow
3156912,0.5,allow
3157954,16.19,allow
3160784,4.76,allow
3160956,2.26,allow
3163216,1.52,allow
3163492,1.06,allow
3165512,0.86,allow
3169023,0.83,allow
3169580,0.78,allow
3170885,0.77,allow
3172311,0.7,allow
3172855,0.55,allow
3174099,0.57,allow
3174111,0.53,allow
3174156,0.49,allow
3175996,0.46,allow
3176046,0.47,allow
3176956,0.5,allow
3177095,0.49,allow
3179152,0.47,allow
3180362,0.5,allow
3180368,0.52,allow
3184710,0.54,allow
3184885,0.58,allow
3184983,0.61,allow
3186981,0.63,allow
3187017,0.63,allow
3187036,0.66,allow
3188376,0.7,allow
3190724,0.69,allow
3192093,0.73,allow
3193530,0.69,allow
3193616,0.7,allow
3193845,0.7,allow
3194807,0.72,allow
3195022,5.98,allow
3195680,2.48,allow
3201481,1.3,allow
3202497,0.89,allow
3202546,0.75,allow
3202604,0.72,allow
3202609,0.74,allow
3203781,0.79,allow
3204485,0.76,allow
3205996,1.01,allow
3206597,1.02,allow
3206600,0.9,allow
3206632,0.83,allow
3207341,0.77,allow
3207363,0.77,allow
3207374,0.8,allow
3208038,0.84,allow
3210943,0.75,allow
3212053,0.63,allow
3212300,0.63,allow
3212834,0.85,allow
3214354,0.95,allow
3215280,0.85,allow
3215599,0.81,allow
3216542,0.79,allow
3217953,0.88,allow
3220077,0.85,allow
3221988,0.86,allow
3222537,0.91,allow
3222864,0.88,allow
3223837,1.57,allow
3224660,1.82,allow
3225584,1.55,allow
3226072,1.13,allow
3226496,0.88,allow
3226824,0.85,allow
3231109,0.8,allow
3231132,0.75,allow
3231469,0.68,allow
3232364,0.59,allow
3235136,0.53,allow
3235141,0.53,allow
3237414,0.51,allow
3238551,0.47,allow
3240281,0.48,allow
3240610,0.53,allow
3241578,0.5,allow
3241587,0.54,allow
3244947,0.58,allow
3245382,0.6,allow
3245386,0.62,allow
3245390,0.65,allow
3246491,0.66,allow
3246856,0.7,allow
3252943,0.63,allow
3253004,0.66,allow
3254581,0.67,allow
3255205,0.72,allow
3255275,0.64,allow
3256949,0.97,allow
3257618,1.17,allow
3257948,1.14,allow
3260137,1.77,allow
3261094,2.13,allow
3262115,1.89,allow
3264792,1.33,allow
3269809,0.97,allow
3273765,0.89,allow
3273822,0.82,allow
3275803,0.75,allow
3276050,0.64,allow
3276586,0.58,allow
3276856,0.53,allow
3277308,0.56,allow
3281952,0.6,allow
3282156,0.58,allow
3282162,0.58,allow
3282262,0.59,allow
3282566,2.78,allow
3282991,1.38,allow
3287012,0.9,allow
3288287,0.68,allow
3291267,0.54,allow
3292413,0.48,allow
3292838,0.49,allow
3292864,0.6,allow
3292985,0.7,allow
3293013,0.8,allow
3293046,0.86,allow
3295185,0.9,allow
3295270,0.9,allow
3296238,0.91,allow
3296666,0.94,allow
3296955,1.72,allow
3296994,10.6,allow
3297267,39.43,allow
3297913,18.5,allow
3298004,10.3,allow
3299816,5.35,allow
3301867,2.53,allow
3305161,1.53,allow
3305434,1.06,allow
3306899,0.82,allow
3311870,0.56,allow
3311896,0.61,allow
3316327,0.9,allow
3317195,0.94,allow
3317478,0.98,allow
3318052,1.03,allow
3319641,0.83,allow
3320515,0.79,allow
3321146,0.81,allow
3322253,0.69,allow
3322975,0.73,allow
3322979,0.76,allow
3323048,0.76,allow
3323105,0.84,allow
3324748,0.92,allow
3325505,0.82,allow
3325746,0.76,allow
3326484,0.8,allow
3327429,0.86,allow
3328043,41.79,allow
3329429,19.63,allow
3329491,10.16,allow
3329570,5.36,allow
3329623,3.7,allow
3330859,2.88,allow
3330922,1.8,allow
3331078,1.14,allow
3334255,0.88,allow
3334545,0.86,allow
3336580,0.65,allow
3337207,0.64,allow
3337246,0.68,allow
3337387,0.74,allow
3337805,0.82,allow
3338351,0.72,allow
3339055,0.67,allow
3339547,0.68,allow
3339777,0.78,allow
3341129,0.84,allow
3344146,0.73,allow
3344155,0.7,allow
3344308,0.68,allow
3346883,0.88,allow
3349253,0.83,allow
3349671,0.89,allow
3350523,0.8,allow
3350560,0.87,allow
3351095,0.9,allow
3351363,0.9,allow
3351752,0.98,allow
3351835,1.1,allow
3354076,2.22,allow
3355269,3.03,allow
3355735,2.76,allow
3355904,1.76,allow
3357646,1.17,allow
3358486,1.07,allow
3360495,1.07,allow
3360504,1.04,allow
3362366,1.03,allow
3362882,0.96,allow
3364184,0.85,allow
3364525,0.73,allow
3365199,0.65,allow
3365679,0.65,allow
3365765,0.66,allow
3366354,0.69,allow
3366381,0.8,allow
3366747,0.89,allow
3367613,1.0,allow
3368706,0.9,allow
3369027,0.89,allow
3369469,0.87,allow
3370081,0.89,allow
3370656,1.27,allow
3374277,44.66,allow
3375045,17.29,allow
3376470,6.03,allow
3376644,2.64,allow
3378099,1.23,allow
3378361,0.81,allow
3380111,0.69,allow
3380911,0.58,allow
3381785,0.63,allow
3382994,0.73,allow
3383437,0.76,allow
3383795,0.75,allow
3383822,0.77,allow
3384763,0.79,allow
3385539,0.87,allow
3385814,0.77,allow
3386249,0.75,allow
3386534,0.81,allow
3388653,0.87,allow
3389008,0.76,allow
3392022,0.74,allow
3392275,0.74,allow
3393018,0.76,allow
3393784,0.79,allow
3393843,0.84,allow
3394517,0.93,allow
3396635,0.82,allow
3399730,0.88,allow
3399866,0.88,allow
3400355,0.91,allow
3400946,0.99,allow
3401586,1.06,allow
3401601,0.86,allow
3403189,0.71,allow
3404670,0.73,allow
3404685,0.64,allow
3405338,0.56,allow
3406070,0.57,allow
3406494,0.67,allow
3406655,0.78,allow
3407144,0.87,allow
3407514,0.77,allow
3408196,0.72,allow
3408933,0.72,allow
3409192,0.75,allow
3409864,0.79,allow
3411589,0.88,allow
3411621,0.87,allow
3412866,0.86,allow
3412905,0.88,allow
3412940,0.89,allow
3413919,0.91,allow
3414525,0.95,allow
3416825,1.1,allow
3416962,1.12,allow
3416977,1.11,allow
3417003,1.1,allow
3417967,1.08,allow
3420341,1.22,allow
3420538,1.26,allow
3421225,1.32,allow
3421359,1.05,allow
3422051,0.83,allow
3423043,0.78,allow
3423803,0.81,allow
3423863,0.96,allow
3425033,1.06,allow
3425088,0.92,allow
3426810,0.83,allow
3428607,0.92,allow
3428896,0.97,allow
3428960,1.02,allow
3431959,1.19,allow
3432371,1.32,allow
3432443,1.62,allow
3433200,1.65,allow
3433210,1.56,allow
3433434,1.4,allow
3433439,1.25,allow
3435763,1.14,allow
3435767,1.01,allow
3436157,0.95,allow
3438997,0.96,allow
3439175,0.94,allow
3439243,0.92,allow
3442155,0.96,allow
3444347,1.02,allow
3446043,1.0,allow
3447589,0.89,allow
3448120,1.02,allow
3448496,0.9,allow
3448700,0.81,allow
3449593,0.79,allow
3450157,0.84,allow
3450178,0.91,allow
3450313,1.0,allow
3457071,1.11,allow
3457528,1.07,allow
3457643,1.06,allow
3457862,1.06,allow
3458280,1.04,allow
3458293,1.09,allow
3458408,1.13,allow
3458424,1.19,allow
3459713,1.26,allow
3461974,1.18,allow
3463741,1.27,allow
3464499,1.27,allow
3464535,0.99,allow
3466294,0.82,allow
3466807,0.95,allow
3467390,0.85,allow
3467595,0.97,allow
3467726,1.05,allow
3469056,1.16,allow
3471603,1.31,allow
3475905,1.38,allow
3477698,1.62,allow
3478950,1.35,allow
3478982,1.24,allow
3479933,1.2,allow
3479981,1.21,allow
3480898,1.22,allow
3483700,0.96,allow
3485703,0.93,allow
3485818,0.83,allow
3491801,0.81,allow
3492612,0.96,allow
3496538,0.88,allow
3496595,0.96,allow
3496615,1.14,allow
3497703,1.29,allow
3498041,1.41,allow
3499303,1.42,allow
3499873,1.09,allow
3500300,20.63,allow
3500838,7.23,allow
3505581,3.96,allow
3506038,2.33,allow
3506239,1.75,allow
3507072,1.64,allow
3507787,1.69,allow
3508101,1.34,allow
3510019,1.21,allow
3510230,1.33,allow
3510239,1.18,allow
3511487,0.94,allow
3511900,0.93,allow
3511935,0.98,allow
3515984,1.04,allow
3516485,0.89,allow
3519450,0.81,allow
3520391,0.82,allow
3521304,1.34,allow
3521324,0.75,allow
3521770,0.56,allow
3523725,0.51,allow
3524387,0.52,allow
3525940,0.61,allow
3526528,0.69,allow
3526935,0.83,allow
3528151,1.01,allow
3528223,0.96,allow
3528754,0.85,allow
3531183,0.84,allow
3531483,0.84,allow
3532145,0.85,allow
3533551,0.92,allow
3534242,1.05,allow
3535926,0.92,allow
3536910,1.01,allow
3536977,0.87,allow
3540250,0.78,allow
3540930,0.74,allow
3541313,0.8,allow
3542173,0.87,allow
3542882,1.11,allow
3544559,1.51,allow
3545639,1.62,allow
3545676,1.27,allow
3545957,1.04,allow
3546857,0.92,allow
3549185,0.94,allow
3549319,0.92,allow
3549324,0.94,allow
3550958,0.96,allow
3553612,1.09,allow
3554011,1.19,allow
3556540,1.3,allow
3556559,1.36,allow
3559019,1.43,allow
3559056,1.45,allow
3559677,1.46,allow
3560426,1.61,allow
3561885,1.4,allow
3561956,1.38,allow
3561983,1.44,allow
3562584,1.49,allow
3565503,2.1,allow
3565732,2.38,allow
3566740,2.29,allow
3567052,2.62,allow
3567589,2.79,allow
3569461,1.99,allow
3570682,1.46,allow
2992485,18.98,allow
3000258,5.21,allow
3000506,1.49,allow
3010614,1.55,allow
3015046,1.05,allow
3016067,0.76,allow
3017147,0.63,allow
3018919,10.6,allow
3021181,5.4,allow
3022174,2.77,allow
3031666,1.56,allow
3033817,6.88,allow
3041053,2.43,allow
3044684,1.05,allow
3048578,0.62,allow
3050002,0.43,allow
3051419,0.37,allow
3051527,0.36,allow
3054412,0.38,allow
3054613,0.4,allow
3058133,0.43,allow
3059335,7.35,allow
3063729,13.42,allow
3066466,21.29,allow
3068374,13.81,allow
3068911,6.19,allow
3069577,2.99,allow
3074773,11.58,allow
3075380,27.98,allow
3082114,14.46,allow
3082900,7.24,allow
3083978,4.02,allow
3084984,11.15,allow
3085535,13.12,allow
3085904,6.18,allow
3086471,3.11,allow
3088372,1.72,allow
3089815,21.52,allow
3094088,12.86,allow
3107964,6.91,allow
3108078,3.82,allow
3109734,2.74,allow
3114026,15.64,allow
3114035,7.73,allow
3115065,3.62,allow
3121674,2.17,allow
3127025,1.38,allow
3129936,0.69,allow
3131338,0.71,allow
3134935,0.67,allow
3142318,0.63,allow
3142810,0.61,allow
3145454,0.42,allow
3146563,0.71,allow
3147764,0.75,allow
3148242,0.78,allow
3154031,0.67,allow
3158548,12.99,allow
3158807,4.32,allow
3161177,1.71,allow
3161213,0.94,allow
3161312,0.67,allow
3162643,0.56,allow
3166043,28.09,allow
3168816,12.88,allow
3169122,7.09,allow
3171531,3.76,allow
3174618,2.64,allow
3176523,1.88,allow
3176967,1.39,allow
3177084,1.16,allow
3178438,0.9,allow
3180079,0.71,allow
3181055,0.45,allow
3191399,0.43,allow
3192089,0.77,allow
3196326,0.81,allow
3198206,0.71,allow
3200343,0.63,allow
3201678,0.61,allow
3203300,0.61,allow
3204357,0.53,allow
3205163,0.51,allow
3208282,0.54,allow
3213730,0.5,allow
3213762,0.53,allow
3213801,0.55,allow
3214797,0.58,allow
3215375,0.56,allow
3222205,0.57,allow
3224762,0.58,allow
3226654,0.69,allow
3229435,0.66,allow
3230004,0.68,allow
3232185,0.65,allow
3235362,0.6,allow
3238651,0.58,allow
3238660,3.84,allow
3238836,1.94,allow
3240288,1.22,allow
3240374,0.94,allow
3240381,0.97,allow
3241764,0.96,allow
3243222,0.99,allow
3244862,0.99,allow
3246777,0.85,allow
3247035,0.67,allow
3247125,0.49,allow
3249347,0.42,allow
3249434,0.62,allow
3252893,0.58,allow
3253067,0.54,allow
3253131,0.54,allow
3254396,0.55,allow
3256736,0.56,allow
3257940,0.61,allow
3263790,5.24,allow
3265267,2.54,allow
3265276,1.44,allow
3265292,1.08,allow
3265309,0.8,allow
3265326,0.65,allow
3265774,0.58,allow
3267669,0.53,allow
3267710,0.43,allow
3267747,0.38,allow
3269813,0.39,allow
3271326,0.38,allow
3274238,0.4,allow
3278062,0.43,allow
3281516,0.48,allow
3283017,0.49,allow
3284918,0.52,allow
3287524,0.53,allow
3292715,0.65,allow
3294372,0.67,allow
3296218,0.64,allow
3296728,0.79,allow
3297995,0.66,allow
3298157,0.61,allow
3299051,0.56,allow
3299054,0.61,allow
3308045,0.68,allow
3308122,0.64,allow
3308430,0.6,allow
3310361,0.55,allow
3311133,0.89,allow
3313305,1.3,allow
3314021,0.94,allow
3317828,0.68,allow
3318981,0.53,allow
3323707,0.56,allow
3325417,0.6,allow
3326166,0.55,allow
3332496,0.64,allow
3332757,0.66,allow
3333008,0.66,allow
3334424,0.78,allow
3336904,0.71,allow
3339241,0.72,allow
3342487,0.66,allow
3342695,0.66,allow
3343300,0.66,allow
3346296,0.52,allow
3347626,0.57,allow
3351917,0.57,allow
3352599,0.61,allow
3354875,0.52,allow
3356451,0.59,allow
3356986,0.63,allow
3357924,0.71,allow
3358028,0.74,allow
3361348,0.72,allow
3363762,0.7,allow
3364228,0.74,allow
3367203,0.63,allow
3369353,0.54,allow
3371837,0.51,allow
3373530,0.65,allow
3375184,0.57,allow
3375200,0.55,allow
3377454,0.54,allow
3377618,0.57,allow
3377885,0.62,allow
3377891,19.01,allow
3378016,32.86,allow
3378296,8.82,allow
3378965,9.82,allow
3380658,4.29,allow
3381384,3.14,allow
3383799,1.62,allow
3387808,0.99,allow
3390500,0.8,allow
3390705,0.76,allow
3391063,0.93,allow
3391543,1.06,allow
3392395,0.81,allow
3392403,0.58,allow
3398562,0.57,allow
3398719,0.61,allow
3403456,0.64,allow
3403710,0.74,allow
